2,910
2,734
2,675
2,651
2,644
2,698
2,706
2,647
2,672
2,662
4,586
4,600
4,655
4,745
4,693
4,658
4,627
4,632
4,601
4,604
8,511
8,474
8,444
8,449
8,442
8,440
8,479
8,470
8,516
8,479
16,320
16,326
16,315
16,325
16,313
16,334
16,338
16,337
16,319
16,327
32,333
32,316
32,311
32,315
32,312
32,297
32,286
32,293
32,288
32,282
2,2861
2,3307
2,3011
2,2911
2,2836
2,3421
2,2949
2,2718
2,2968
2,2892
4,2733
4,2513
4,2573
4,2490
4,2954
4,2843
4,2788
4,2938
4,2808
4,2959
8,2130
4,2030
4,2126
4,2081
4,2207
4,2274
4,2349
4,2304
4,2210
4,2128
16,1635
16,1468
16,1394
16,1613
16,1684
16,1516
16,1514
16,1518
16,1579
16,1594
32,1608
32,1600
32,1835
32,1661
32,1577
32,1608
32,1570
32,1550
32,1560
32,1515
2,8695
2,7857
2,7847
2,7308
2,7615
2,7731
2,7871
2,7961
2,7959
2,7785
4,7445
4,7735
4,7515
4,7708
4,8101
4,7099
4,7445
4,7649
4,7527
4,7400
8,7380
8,7648
8,7527
8,7981
8,8259
8,7406
8,7443
8,7636
8,7262
8,7068
16,5374
16,5633
16,5439
16,5421
16,5261
16,5526
16,5525
16,5203
16,5188
16,5070
32,4071
32,3701
32,3735
32,3702
32,3667
32,3706
32,3639
32,3743
32,3665
32,3702
